all,allCount,fifties,fiftiesCount,sixties,sixtiesCount,seventies,seventiesCount,eighties,eightiesCount,nineties,ninetiesCount,twothousands,twothousandsCount,twentytens,twentytensScore
The Beatles,36,Elvis Presley,4,The Beatles,27,ABBA,15,U2,14,George Michael,14,Coldplay,16,Ed Sheeran,12
Queen,36,Nina Simone,1,The Rolling Stones,12,Queen,13,Queen,12,Nirvana,10,Muse,11,Coldplay,11
Coldplay,27,Louis Armstrong,1,Creedence Clearwater Revival,7,David Bowie,12,Bruce Springsteen,11,Queen,10,BLØF,8,Adele,11
U2,26,Chuck Berry,1,Elvis Presley,5,Eagles,12,Prince,10,Metallica,7,U2,8,Kensington,10
Michael Jackson,23,The Dave Brubeck Quartet,1,Bob Dylan,5,Pink Floyd,9,Dire Straits,9,R.E.M,7,Rowwen Hèze,6,Andre Hazes,10
Bruce Springsteen,22,Fats Domino,1,Jimi Hendrix,5,Supertramp,9,Michael Jackson,8,Radiohead,7,Doe Maar,6,Imagine Dragons,9
The Rolling Stones,22,,0,Frank Sinatra,4,The Rolling Stones,8,Fleetwood Mac,8,Pearl Jam,6,Marco Borsato,6,Boudewijn de Groot,8
ABBA,22,,0,Simon & Garfunkel,4,Fleetwood Mac,7,ABBA,6,Red Hot Chilli Peppers,6,Anouk,6,BLØF,6
David Bowie,20,,0,The Beach Boys,4,Led Zeppeling,6,Phil Collins,6,Michael Jackson,6,John Mayer,6,Racoon,5
Fleetwood Mac,18,,0,The Doors,4,Creedence Clearwater Revival,5,TOTO,6,Marco Borsato,6,Foo Fighters,5,P!nk,5
